epoch,train_loss,val_loss,val_top1,val_top5,learning_rate
1,5.628578810154239,5.239299214275592,0.01866251944012442,0.08398133748055987,0.0003
2,5.0603807292197684,4.689564073808827,0.07776049766718507,0.19440124416796267,0.0002998047087025267
3,4.573590117983217,4.251026087192874,0.1290824261275272,0.38413685847589424,0.0002992193700899789
4,4.124882819097467,3.79180496810569,0.24883359253499224,0.5800933125972006,0.0002982455885348071
5,3.703284311485418,3.350242458272314,0.36702954898911355,0.7262830482115086,0.00029688603310456727
6,3.265136956691424,2.931997258778123,0.4665629860031104,0.7884914463452566,0.0002951444302461922
7,2.863435889340147,2.548610956079296,0.5738724727838258,0.8600311041990669,0.0002930255535720594
8,2.5154767058705234,2.213622215190905,0.6298600311041991,0.9004665629860031,0.0002905352107758512
9,2.1930082256273877,1.921798960231882,0.7060653188180405,0.9237947122861586,0.0002876802277140706
10,1.9201974805948971,1.66724301756448,0.7418351477449455,0.942457231726283,0.00028446842969684236
11,1.666624133232198,1.4332027713395945,0.7682737169517885,0.9517884914463453,0.00028090862003928246
12,1.4403227612207221,1.2832271103540067,0.7853810264385692,0.9611197511664075,0.00027701055593222284
13,1.247125276968907,1.1321866790391795,0.8118195956454122,0.9642301710730948,0.0002727849216984299
14,1.0680536235706897,0.9636120207572985,0.838258164852255,0.9704510108864697,0.0002682432995076183
15,0.9349578077034445,0.8460892314673583,0.8662519440124417,0.9704510108864697,0.0002633981376305286
16,0.8193998099009621,0.7508483179156925,0.8833592534992224,0.973561430793157,0.0002582627163190829
17,0.7109134442572438,0.683449199095855,0.8833592534992224,0.9766718506998445,0.0002528511114061372
18,0.6227700839526181,0.6120486989918615,0.8911353032659409,0.9813374805598756,0.00024717815572460175
19,0.547555136950991,0.5536731013428553,0.9035769828926905,0.9813374805598756,0.00024125939845167732
20,0.47514175124133406,0.49833422750929834,0.9097978227060654,0.9782270606531882,0.00023511106248964126
21,0.42482518803842706,0.4683961982188477,0.9082426127527217,0.9828926905132193,0.0002287499999999999
22,0.37388388201186784,0.4386934036762681,0.911353032659409,0.9828926905132193,0.00022219364621288532
23,0.33471181893285074,0.42189433437252116,0.9191290824261276,0.9797822706065319,0.00021545997163830149
24,0.2932444948248262,0.3997047032181805,0.9175738724727839,0.9844479004665629,0.00020856743281020526
25,0.2648257631870649,0.3653008355404226,0.9300155520995335,0.9828926905132193,0.00020153492169842994
26,0.2244139345905795,0.3644892482396974,0.9300155520995335,0.9828926905132193,0.00019438171392710914
27,0.21534595591295075,0.3407878055241579,0.9315707620528771,0.9828926905132193,0.0001871274159415306
28,0.1937285299357611,0.30732414089317084,0.937791601866252,0.9844479004665629,0.00017979191126823286
29,0.1719888334993206,0.30812311868297737,0.9409020217729394,0.9844479004665629,0.0001723953060156406
30,0.15603631299443846,0.28562523286158154,0.9362363919129082,0.9844479004665629,0.0001649578737646195
31,0.1382601237877597,0.29373364753349107,0.9393468118195957,0.9844479004665629,0.0001575000000000001
32,0.12904722103880117,0.26602219143653544,0.9393468118195957,0.9860031104199067,0.00015004212623538057
33,0.12139468911968126,0.30300179906305313,0.9362363919129082,0.9844479004665629,0.00014260469398435946
34,0.10745700864771193,0.268934115944184,0.9533437013996889,0.9875583203732504,0.00013520808873176716
35,0.09974916998031061,0.2699399668503188,0.9440124416796267,0.9860031104199067,0.00012787258405846935
36,0.08323295777781635,0.25835007171162505,0.9471228615863142,0.9860031104199067,0.00012061828607289087
37,0.07569764238633737,0.2558095097892322,0.9471228615863142,0.9860031104199067,0.00011346507830157006
38,0.07809785175186304,0.25104073883203754,0.9455676516329704,0.9860031104199067,0.00010643256718979477
39,0.06724942859766721,0.25700447755875894,0.9517884914463453,0.9860031104199067,9.954002836169854e-05
40,0.0627145957415445,0.26018323699768464,0.9517884914463453,0.9860031104199067,9.280635378711463e-05
41,0.056120455345813634,0.24785082864330307,0.9502332814930016,0.9875583203732504,8.625000000000006e-05
42,0.05348738907197064,0.23489867163312217,0.9548989113530326,0.9875583203732504,7.988893751035871e-05
43,0.046214352420881004,0.2423953786839964,0.9564541213063764,0.9844479004665629,7.374060154832261e-05
44,0.04429280281991383,0.2417800430386598,0.9548989113530326,0.9860031104199067,6.782184427539821e-05
45,0.04290510080332276,0.23432414209930744,0.9595645412130638,0.9844479004665629,6.214888859386277e-05
46,0.038602142922177646,0.23677359891817853,0.9564541213063764,0.9844479004665629,5.673728368091701e-05
47,0.035182959174586984,0.23752363124416206,0.9580093312597201,0.9860031104199067,5.1601862369471375e-05
48,0.03418253149819859,0.24709321760165492,0.9548989113530326,0.9828926905132193,4.675670049238167e-05
49,0.03405162869760639,0.24318029800673271,0.9517884914463453,0.9828926905132193,4.221507830157002e-05
50,0.030635533503954454,0.23876345282837655,0.9580093312597201,0.9875583203732504,3.79894440677771e-05
51,0.030574662491599666,0.23382663575376197,0.9611197511664075,0.9844479004665629,3.4091379960717494e-05
52,0.02512583552205499,0.2355432297931593,0.9564541213063764,0.9860031104199067,3.05315703031576e-05
53,0.029488220851895727,0.2302593501142775,0.9611197511664075,0.9860031104199067,2.7319772285929367e-05
54,0.025481762318530825,0.2313368006820847,0.9580093312597201,0.9860031104199067,2.4464789224148757e-05
55,0.025311075185759216,0.2349306828086011,0.9595645412130638,0.9875583203732504,2.1974446427940625e-05
56,0.023996487494714662,0.23304522301042874,0.9595645412130638,0.9844479004665629,1.9855569753807768e-05
57,0.024091694915941788,0.231446918742485,0.9580093312597201,0.9860031104199067,1.811396689543269e-05
58,0.02477422314605926,0.23343943875039672,0.9611197511664075,0.9860031104199067,1.6754411465192883e-05
59,0.02088206831000502,0.23663327269383574,0.9657853810264385,0.9860031104199067,1.578062991002104e-05
60,0.021794261710297035,0.22930931877475202,0.9611197511664075,0.9860031104199067,1.5195291297473228e-05
